SrNo.;Institute;Program
1;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Textile Technology (4 Years, Bachelor of Technology)
2;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Civil Engineering (4 Years, Bachelor of Technology)
3;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Electronics and VLSI Engineering (4 Years, Bachelor of Technology)
4;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
5;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Industrial and Production Engineering (4 Years, Bachelor of Technology)
6;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Mathematics and Computing (4 Years, Bachelor of Technology)
7;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Mechanical Engineering (4 Years, Bachelor of Technology)
8;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Bio Technology (4 Years, Bachelor of Technology)
9;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Computer Science and Engineering (4 Years, Bachelor of Technology)
10;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Instrumentation and Control Engineering (4 Years, Bachelor of Technology)
11;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Electrical Engineering (4 Years, Bachelor of Technology)
12;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Chemical Engineering (4 Years, Bachelor of Technology)
13;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Information Technology (4 Years, Bachelor of Technology)
14;Dr. B R Ambedkar National Institute of Technology, Jalandhar;Data Science and Engineering (4 Years, Bachelor of Technology)
15;Malaviya National Institute of Technology Jaipur;Computer Science and Engineering (4 Years, Bachelor of Technology)
16;Malaviya National Institute of Technology Jaipur;Mechanical Engineering (4 Years, Bachelor of Technology)
17;Malaviya National Institute of Technology Jaipur;Chemical Engineering (4 Years, Bachelor of Technology)
18;Malaviya National Institute of Technology Jaipur;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
19;Malaviya National Institute of Technology Jaipur;Electrical Engineering (4 Years, Bachelor of Technology)
20;Malaviya National Institute of Technology Jaipur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
21;Malaviya National Institute of Technology Jaipur;Civil Engineering (4 Years, Bachelor of Technology)
22;Malaviya National Institute of Technology Jaipur;Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)
23;Maulana Azad National Institute of Technology Bhopal;Computer Science and Engineering (4 Years, Bachelor of Technology)
24;Maulana Azad National Institute of Technology Bhopal;Electrical Engineering (4 Years, Bachelor of Technology)
25;Maulana Azad National Institute of Technology Bhopal;Chemical Engineering (4 Years, Bachelor of Technology)
26;Maulana Azad National Institute of Technology Bhopal;Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)
27;Maulana Azad National Institute of Technology Bhopal;Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))
28;Maulana Azad National Institute of Technology Bhopal;Civil Engineering (4 Years, Bachelor of Technology)
29;Maulana Azad National Institute of Technology Bhopal;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
30;Maulana Azad National Institute of Technology Bhopal;Mechanical Engineering (4 Years, Bachelor of Technology)
31;Motilal Nehru National Institute of Technology Allahabad;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
32;Motilal Nehru National Institute of Technology Allahabad;Civil Engineering (4 Years, Bachelor of Technology)
33;Motilal Nehru National Institute of Technology Allahabad;Materials Engineering (4 Years, Bachelor of Technology)
34;Motilal Nehru National Institute of Technology Allahabad;Engineering and Computational Mechanics (4 Years, Bachelor of Technology)
35;Motilal Nehru National Institute of Technology Allahabad;Mechanical Engineering (4 Years, Bachelor of Technology)
36;Motilal Nehru National Institute of Technology Allahabad;Bio Technology (4 Years, Bachelor of Technology)
37;Motilal Nehru National Institute of Technology Allahabad;Computer Science and Engineering (4 Years, Bachelor of Technology)
38;Motilal Nehru National Institute of Technology Allahabad;Chemical Engineering (4 Years, Bachelor of Technology)
39;Motilal Nehru National Institute of Technology Allahabad;Production and Industrial Engineering (4 Years, Bachelor of Technology)
40;Motilal Nehru National Institute of Technology Allahabad;Electrical Engineering (4 Years, Bachelor of Technology)
41;National Institute of Technology Agartala;Computer Science and Engineering (4 Years, Bachelor of Technology)
42;National Institute of Technology Agartala;Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))
43;National Institute of Technology Agartala;Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
44;National Institute of Technology Agartala;Mechanical Engineering (4 Years, Bachelor of Technology)
45;National Institute of Technology Agartala;Chemical Engineering (4 Years, Bachelor of Technology)
46;National Institute of Technology Agartala;Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))
47;National Institute of Technology Agartala;Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))
48;National Institute of Technology Agartala;Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))
49;National Institute of Technology Agartala;Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))
50;National Institute of Technology Agartala;Electrical Engineering (4 Years, Bachelor of Technology)
51;National Institute of Technology Agartala;Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)
52;National Institute of Technology Agartala;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
53;National Institute of Technology Agartala;Production Engineering (4 Years, Bachelor of Technology)
54;National Institute of Technology Agartala;Civil Engineering (4 Years, Bachelor of Technology)
55;National Institute of Technology Calicut;Engineering Physics (4 Years, Bachelor of Technology)
56;National Institute of Technology Calicut;Chemical Engineering (4 Years, Bachelor of Technology)
57;National Institute of Technology Calicut;Materials Science and Engineering (4 Years, Bachelor of Technology)
58;National Institute of Technology Calicut;Production Engineering (4 Years, Bachelor of Technology)
59;National Institute of Technology Calicut;Civil Engineering (4 Years, Bachelor of Technology)
60;National Institute of Technology Calicut;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
61;National Institute of Technology Calicut;Bio Technology (4 Years, Bachelor of Technology)
62;National Institute of Technology Calicut;Mechanical Engineering (4 Years, Bachelor of Technology)
63;National Institute of Technology Calicut;Computer Science and Engineering (4 Years, Bachelor of Technology)
64;National Institute of Technology Calicut;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
65;National Institute of Technology Delhi;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
66;National Institute of Technology Delhi;Computer Science and Engineering (4 Years, Bachelor of Technology)
67;National Institute of Technology Delhi;Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)
68;National Institute of Technology Delhi;Mechanical Engineering (4 Years, Bachelor of Technology)
69;National Institute of Technology Delhi;Aerospace Engineering (4 Years, Bachelor of Technology)
70;National Institute of Technology Delhi;Civil Engineering (4 Years, Bachelor of Technology)
71;National Institute of Technology Delhi;VLSI Design and Technology (4 Years, Bachelor of Technology)
72;National Institute of Technology Delhi;Electrical Engineering (4 Years, Bachelor of Technology)
73;National Institute of Technology Durgapur;B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)
74;National Institute of Technology Durgapur;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
75;National Institute of Technology Durgapur;Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))
76;National Institute of Technology Durgapur;Electrical Engineering (4 Years, Bachelor of Technology)
77;National Institute of Technology Durgapur;Chemical Engineering (4 Years, Bachelor of Technology)
78;National Institute of Technology Durgapur;Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
79;National Institute of Technology Durgapur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
80;National Institute of Technology Durgapur;Civil Engineering (4 Years, Bachelor of Technology)
81;National Institute of Technology Durgapur;Chemistry (5 Years, Integrated Master of Science)
82;National Institute of Technology Durgapur;Bio Technology (4 Years, Bachelor of Technology)
83;National Institute of Technology Durgapur;Computer Science and Engineering (4 Years, Bachelor of Technology)
84;National Institute of Technology Durgapur;Mechanical Engineering (4 Years, Bachelor of Technology)
85;National Institute of Technology Goa;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
86;National Institute of Technology Goa;Civil Engineering (4 Years, Bachelor of Technology)
87;National Institute of Technology Goa;Mechanical Engineering (4 Years, Bachelor of Technology)
88;National Institute of Technology Goa;Computer Science and Engineering (4 Years, Bachelor of Technology)
89;National Institute of Technology Goa;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
90;National Institute of Technology Hamirpur;Mathematics and Computing (4 Years, Bachelor of Technology)
91;National Institute of Technology Hamirpur;Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
92;National Institute of Technology Hamirpur;Computer Science and Engineering (4 Years, Bachelor of Technology)
93;National Institute of Technology Hamirpur;Mechanical Engineering (4 Years, Bachelor of Technology)
94;National Institute of Technology Hamirpur;Electrical Engineering (4 Years, Bachelor of Technology)
95;National Institute of Technology Hamirpur;Engineering Physics (4 Years, Bachelor of Technology)
96;National Institute of Technology Hamirpur;Materials Science and Engineering (4 Years, Bachelor of Technology)
97;National Institute of Technology Hamirpur;Chemical Engineering (4 Years, Bachelor of Technology)
98;National Institute of Technology Hamirpur;Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
99;National Institute of Technology Hamirpur;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
100;National Institute of Technology Hamirpur;Civil Engineering (4 Years, Bachelor of Technology)
101;National Institute of Technology Karnataka, Surathkal;Artificial Intelligence (4 Years, Bachelor of Technology)
102;National Institute of Technology Karnataka, Surathkal;Computer Science and Engineering (4 Years, Bachelor of Technology)
103;National Institute of Technology Karnataka, Surathkal;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
104;National Institute of Technology Karnataka, Surathkal;Mechanical Engineering (4 Years, Bachelor of Technology)
105;National Institute of Technology Karnataka, Surathkal;Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
106;National Institute of Technology Karnataka, Surathkal;Chemical Engineering (4 Years, Bachelor of Technology)
